CCAA;ABANDONO
Madrid;No
Madrid;Si
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;Si
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;Si
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;Si
Barcelona;Si
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;Si
Madrid;No
Madrid;Si
Madrid;No
Madrid;Si
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;Si
Barcelona;Si
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;Si
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;Si
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;Si
Madrid;Si
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;Si
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;Si
Madrid;Si
Madrid;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;Si
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;Si
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;Si
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Barcelona;Si
Barcelona;No
Madrid;Si
Madrid;No
Madrid;Si
Madrid;No
Barcelona;No
Barcelona;No
Madrid;Si
Madrid;No
Barcelona;No
Madrid;Si
Barcelona;Si
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;Si
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;Si
Madrid;No
Madrid;No
Madrid;Si
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;Si
Madrid;No
Barcelona;No
Madrid;No
Barcelona;Si
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;Si
Barcelona;No
Barcelona;No
Barcelona;Si
Madrid;No
Madrid;Si
Barcelona;Si
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;Si
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;Si
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;Si
Madrid;No
Madrid;Si
Barcelona;No
Barcelona;No
Madrid;Si
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;Si
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;Si
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Barcelona;No
Madrid;No
Barcelona;Si
Barcelona;Si
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;Si
Madrid;No
Madrid;No
Madrid;No
Madrid;Si
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;Si
Barcelona;Si
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;Si
Madrid;No
Barcelona;No
Madrid;Si
Madrid;Si
Barcelona;No
Barcelona;No
Barcelona;Si
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;Si
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;Si
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;Si
Madrid;Si
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Barcelona;Si
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;Si
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;Si
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;Si
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;Si
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;Si
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;Si
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;Si
Barcelona;Si
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;Si
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Madrid;Si
Madrid;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;No
Barcelona;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;No
Barcelona;No
Barcelona;Si
Madrid;No
Madrid;No
Barcelona;No
Madrid;No
Madrid;Si
Madrid;No
Barcelona;No
Madrid;No
